house_type,house_size,city,location,,price
2BHK ,"1,000",Delhi,Subhash Nagar,,30000
1BHK ,700,Delhi,Subhash Nagar,,16000
2BHK ,"1,850",Delhi,Green Park,,55000
Studio ,450,Delhi,Subhash Nagar,,14000
2BHK ,700,Delhi,Geeta Colony,,15000
3BHK ,"1,750",Delhi,Anand Vihar,,40000
3BHK ,"1,000",Delhi,vikaspuri,,24000
1BHK ,600,Delhi,Subhash Nagar,,18000
2BHK ,800,Delhi,Tagore Garden Extension,,20000
2BHK ,"1,000",Delhi,Subhash Nagar,,20000
3BHK ,"2,000",Delhi,Rajouri Garden,,40000
3BHK ,"2,000",Delhi,Tagore Garden Extension,,70000
3BHK ,"2,000",Delhi,Rajouri Garden,,54000
3BHK ,"1,600",Delhi,Rajouri Garden,,45000
3BHK ,"2,000",Delhi,Rajouri Garden,,50000
3BHK ,"3,000",Delhi,Rajouri Garden,,65000
2BHK ,"1,000",Delhi,Subhash Nagar,,23000
2BHK ,"1,000",Delhi,Subhash Nagar,,25000
4BHK ,"2,900",Delhi,Rajouri Garden,,100000
3BHK ,"1,900",Delhi,Rajouri Garden,,60000
1BHK ,750,Delhi,Rajouri Garden,,20000
1BHK ,550,Delhi,Subhash Nagar,,18000
3BHK ,"2,000",Delhi,Ashok Nagar,,40000
3BHK ,"1,800",Delhi,Rajouri Garden,,52000
3BHK ,"2,000",Delhi,Rajouri Garden,,50000
1BHK ,650,Delhi,Subhash Nagar,,18000
2BHK ,800,Delhi,Tagore Garden Extension,,30000
2BHK ,"1,000",Delhi,Subhash Nagar,,25000
2BHK ,850,Delhi,Tagore Garden Extension,,30000
2BHK ,"1,800",Delhi,Rajouri Garden,,40000
3BHK ,"1,600",Delhi,Rajouri Garden,,50000
1BHK ,600,Delhi,Subhash Nagar,,22000
2BHK ,"1,000",Delhi,Subhash Nagar,,25000
3BHK ,"3,000",Delhi,Rajouri Garden,,60000
1BHK ,600,Delhi,Subhash Nagar,,18000
2BHK ,"1,000",Delhi,Subhash Nagar,,26000
3BHK ,"1,800",Delhi,Rajouri Garden,,50000
2BHK ,"1,500",Delhi,Rajouri Garden,,35100
2BHK ,"1,400",Delhi,Rajouri Garden,,35000
2BHK ,"1,000",Delhi,Subhash Nagar,,30000
2BHK ,"1,000",Delhi,Tagore Garden Extension,,32000
1BHK ,"1,200",Delhi,Rajouri Garden,,20000
2BHK ,"1,000",Delhi,vikaspuri,,17000
1BHK ,600,Delhi,vikaspuri,,19000
1BHK ,800,Delhi,vikaspuri,,19000
2BHK ,"1,000",Delhi,Ramesh Nagar,,30000
3BHK ,"1,500",Delhi,Rajouri Garden,,36000
3BHK ,"1,800",Delhi,Rajouri Garden,,45000
3BHK ,"1,600",Delhi,Rajouri Garden,,52000
2BHK ,800,Delhi,Tagore Garden Extension,,26000
3BHK ,"2,400",Delhi,Tagore Garden Extension,,80000
2BHK ,800,Delhi,Tagore Garden Extension,,26500
4BHK ,"2,200",Delhi,Sector 22 Dwarka,,52000
2BHK ,"1,800",Delhi,Bindapur,,19000
2BHK ,500,Delhi,Dwarka Mor,,15000
3BHK ,900,Delhi,Govindpuri Extension,,18000
3BHK ,"2,200",Delhi,Sector 19 Dwarka,,59000
2BHK ,"1,800",Delhi,Safdarjung Enclave,,70000
2BHK ,"1,225",Delhi,Kaushambi,,25000
1BHK ,500,Delhi,Dilshad Garden,,20000
3BHK ,900,Delhi,Dabri,,18000
3BHK ,"2,025",Delhi,Surajmal Vihar,,61000
3BHK ,"2,025",Delhi,Surajmal Vihar,,61000
3BHK ,900,Delhi,Dabri,,18000
Studio ,550,Delhi,Model Town,,15500
1BHK ,550,Delhi,Model Town,,18000
3BHK ,"1,250",Delhi,Model Town,,34000
4BHK ,"2,700",Delhi,Kirti Nagar,,90000
4BHK ,"2,700",Delhi,Rajouri Garden,,80000
4BHK ,"3,600",Delhi,Rajouri Garden,,110000
3BHK ,"1,400",Delhi,Rajouri Garden,,39200
2BHK ,850,Delhi,Sector 12 Dwarka,,25000
2BHK ,750,Delhi,Janakpuri,,18000
Studio ,550,Delhi,Model Town,,15500
3BHK ,"1,440",Delhi,Gujranwala Town,,37000
3BHK ,900,Delhi,Dabri,,20000
2BHK ,750,Delhi,Janakpuri,,18000
2BHK ,"1,500",Delhi,Sector 11 Dwarka,,28000
3BHK ,"2,000",Delhi,Sector 10 Dwarka,,38000
3BHK ,"2,400",Delhi,Sector 6 Dwarka,,40000
3BHK ,"2,400",Delhi,Sector 12 Dwarka,,38000
2BHK ,"1,800",Delhi,Sector 16 Dwarka,,36000
4BHK ,"3,000",Delhi,Sector 19 Dwarka,,55000
3BHK ,"2,000",Delhi,Palam,,32000
2BHK ,850,Delhi,Dwarka Mor,,23000
3BHK ,850,Delhi,Sector 11 Dwarka,,15000
3BHK ,"1,000",Delhi,Vikas Puri,,30000
3BHK ,"1,700",Delhi,Rajouri Garden,,40000
3BHK ,"1,800",Delhi,Rajouri Garden,,50000
1BHK ,600,Delhi,Subhash Nagar,,18800
4BHK ,"2,700",Delhi,Kirti Nagar,,75000
3BHK ,"1,200",Delhi,Masjid Moth Village,,50000
3BHK ,900,Delhi,Dabri,,23000
3BHK ,"1,350",Delhi,Janakpuri,,50000
3BHK ,"1,125",Delhi,Dabri,,25000
1BHK ,450,Delhi,Dabri,,10500
2BHK ,540,Delhi,Dabri,,12000
2BHK ,540,Delhi,Dabri,,11500
2BHK ,720,Delhi,Janakpuri,,20000
2BHK ,450,Delhi,Dabri,,10000
2BHK ,540,Delhi,Dabri,,15000
1BHK ,540,Delhi,Bindapur,,9000
3BHK ,650,Delhi,Vasant Kunj,,26500
2BHK ,601,Delhi,Dwarka Mor,,17000
1BHK ,500,Delhi,Sewak Park,,14000
2BHK ,600,Delhi,Dwarka Mor,,24000
2BHK ,800,Delhi,Mansa Ram Park,,21500
3BHK ,"4,500",Delhi,Safdarjung Enclave,,180000
1BHK ,450,Delhi,Gautam Nagar,,25000
3BHK ,"2,300",Delhi,Green Park Extension,,130000
2BHK ,800,Delhi,Mansa Ram Park,,21500
4BHK ,"4,500",Delhi,South Extension 2,,210000
3BHK ,"1,050",Delhi,Shastri Nagar,,20000
1BHK ,430,Delhi,Dwarka Mor,,14000
3BHK ,"1,450",Delhi,Safdarjung Enclave,,125000
1BHK ,900,Delhi,Safdarjung Enclave,,60000
2BHK ,540,Delhi,Dabri,,15000
4BHK ,"3,420",Delhi,Janakpuri,,90000
1BHK ,540,Delhi,Dabri,,11500
3BHK ,990,Delhi,Janakpuri,,35000
3BHK ,900,Delhi,Dabri,,23000
2BHK ,800,Delhi,Uttam Nagar,,20000
3BHK ,900,Delhi,Mansa Ram Park,,18000
2BHK ,720,Delhi,Mansa Ram Park,,20000
1BHK ,450,Delhi,Uttam Nagar,,10000
1BHK ,540,Delhi,Sagar Pur,,9000
1BHK ,500,Delhi,Janakpuri,,18500
2BHK ,560,Delhi,Dabri,,15000
2BHK ,"1,350",Delhi,Janakpuri,,35000
2BHK ,600,Delhi,Uttam Nagar,,16000
1BHK ,450,Delhi,Uttam Nagar,,12500
4BHK ,"1,100",Delhi,Dwarka Mor,,36000
3BHK ,"2,400",Delhi,Hauz Khas,,125000
1BHK ,450,Delhi,Dwarka Mor,,14000
2BHK ,600,Delhi,Uttam Nagar,,17000
2BHK ,600,Delhi,Uttam Nagar,,22000
1BHK ,450,Delhi,Uttam Nagar,,12000
3BHK ,900,Delhi,Dabri,,20000
3BHK ,"1,000",Delhi,Dabri,,22000
2BHK ,900,Delhi,Green Park,,50000
3BHK ,450,Delhi,Chattarpur,,8000
2BHK ,750,Delhi,Chattarpur,,25000
3BHK ,450,Delhi,Chattarpur,,12000
3BHK ,490,Delhi,Chattarpur,,18000
3BHK ,450,Delhi,Chattarpur,,18000
1BHK ,500,Delhi,Dwarka Mor,,14000
3BHK ,"1,350",Delhi,Paschim Vihar,,46000
3BHK ,900,Delhi,Paschim Vihar,,27000
3BHK ,"1,125",Delhi,Paschim Vihar,,35000
2BHK ,756,Delhi,Paschim Vihar,,23500
3BHK ,"1,350",Delhi,Paschim Vihar,,46000
3BHK ,900,Delhi,Paschim Vihar,,27000
3BHK ,"1,125",Delhi,Paschim Vihar,,35000
2BHK ,756,Delhi,Paschim Vihar,,23500
3BHK ,"1,100",Delhi,Paschim Vihar,,27500
2BHK ,756,Delhi,Paschim Vihar,,24000
2BHK ,756,Delhi,Paschim Vihar,,22500
3BHK ,"1,350",Delhi,Paschim Vihar,,30000
4BHK ,"2,700",Delhi,Paschim Vihar,,60000
